focus_id,required_focus_id
GXC_question_chiangs_authority,GXC_the_japanese_visit
GXC_rumors_of_deposition,GXC_the_japanese_visit
GXC_the_scorched_earth_speech,GXC_question_chiangs_authority
GXC_denounce_chiang,GXC_rumors_of_deposition
GXC_formation_of_the_nraja,GXC_denounce_chiang
GXC_formation_of_the_nraja,GXC_the_scorched_earth_speech
GXC_declare_opposition,GXC_formation_of_the_nraja
AFG_sugar_processing,AFG_expand_telegraph_network
AFG_fruit_packing,AFG_expand_telegraph_network
AFG_clear_malarial_swamps,AFG_expand_telegraph_network
AFG_qargha_dam,AFG_clear_malarial_swamps
AFG_kajaki_dam,AFG_qargha_dam
AFG_iron_mines,AFG_kajaki_dam
AFG_chromite_mines,AFG_kajaki_dam
AFG_modern_economy,AFG_iron_mines
AFG_infrastructure_construction,AFG_expand_telegraph_network
AFG_ministry_of_supply,AFG_expand_telegraph_network
AFG_implement_currency_controls,AFG_ministry_of_supply
AFG_expand_karakul_lambskin_industry,AFG_fruit_packing
AFG_expand_karakul_lambskin_industry,AFG_sugar_processing
AFG_spinzar_cotton_factory,AFG_expand_telegraph_network
AFG_look_to_other_partners,AFG_fruit_packing
AFG_renew_soviet_trade_agreement,AFG_sugar_processing
AFG_salang_pass,AFG_renew_soviet_trade_agreement
AFG_truck_factory,AFG_renew_soviet_trade_agreement
AFG_75_year_oil_concessions,AFG_look_to_other_partners
AFG_electrification,AFG_infrastructure_construction
AFG_establish_radio_networks,AFG_electrification
AFG_connect_the_cities,AFG_infrastructure_construction
AFG_rail_construction,AFG_connect_the_cities
AFG_expand_kabul_university,AFG_establish_radio_networks
AFG_expand_kabul_university,AFG_rail_construction
AFG_state_industries,AFG_expand_kabul_university
AFG_asymmetric_warfare,AFG_maintain_quami
AFG_expand_quami_template,AFG_asymmetric_warfare
AFG_khyber_pass_riflining,AFG_asymmetric_warfare
AFG_scavenging,AFG_khyber_pass_riflining
AFG_militia_cavalry,AFG_khyber_pass_riflining
AFG_encourage_jezail_production,AFG_scavenging
AFG_mountain_training,AFG_khyber_pass_riflining
AFG_mountain_training_2,AFG_mountain_training
AFG_cross_border_ties,AFG_militia_cavalry
AFG_expand_border_guards,AFG_maintain_quami
AFG_approach_foreign_inteligence_services,AFG_expand_border_guards
AFG_utilize_cameleers,AFG_maintain_quami
AFG_establish_camelry_regiments,AFG_utilize_cameleers
AFG_new_army,AFG_adopt_nufus
AFG_officialize_the_turkish_afghan_defense_treaty,AFG_adopt_nufus
AFG_establish_naval_bases,AFG_adopt_nufus
AFG_expand_academy,AFG_new_army
AFG_purchase_tanks,AFG_expand_academy
AFG_purchase_aircraft,AFG_expand_academy
AFG_foreign_military_advisors,AFG_expand_academy
AFG_expand_standing_army,AFG_foreign_military_advisors
AFG_expand_equipment_purchases,AFG_purchase_tanks
AFG_increase_air_purchases,AFG_purchase_aircraft
AFG_prussians_of_the_orient,AFG_expand_standing_army
AFG_prussians_of_the_orient,AFG_increase_air_purchases
AFG_prussians_of_the_orient,AFG_expand_equipment_purchases
AFG_naval_academy,AFG_establish_naval_bases
AFG_shipyards,AFG_establish_naval_bases
AFG_research_bonus_1,AFG_shipyards
AFG_research_bonus_1,AFG_naval_academy
AFG_purchase_destroyers,AFG_shipyards
AFG_purchase_destroyers,AFG_naval_academy
AFG_research_bonus_2,AFG_research_bonus_1
AFG_purchase_capital_ships,AFG_purchase_destroyers
AFG_contact_amanullah_loyalists,AFG_against_kabul
AFG_remember_the_khost_rebellion,AFG_against_kabul
AFG_secure_army_support,AFG_contact_amanullah_loyalists
AFG_contact_rural_loyalists,AFG_contact_amanullah_loyalists
AFG_hold_a_loya_jirga,AFG_contact_rural_loyalists
AFG_request_german_support,AFG_contact_amanullah_loyalists
AFG_invite_waziristan_rebels,AFG_remember_the_khost_rebellion
AFG_stir_unrest_in_the_east,AFG_remember_the_khost_rebellion
AFG_the_faqirs_revolt,AFG_stir_unrest_in_the_east
AFG_the_faqirs_revolt,AFG_invite_waziristan_rebels
AFG_request_japanese_support,AFG_remember_the_khost_rebellion
AFG_crown_the_golden_emir,AFG_the_faqirs_revolt
AFG_crown_the_bukharan_emir,AFG_the_faqirs_revolt
AFG_invite_the_mughal_prince,AFG_the_faqirs_revolt
AFG_unify_the_islamic_world,AFG_the_faqirs_revolt
AFG_extend_a_hand_to_tokyo,AFG_the_faqirs_revolt
AFG_expand_the_madrasas,AFG_the_faqirs_revolt
AFG_promote_muslim_work_ethic,AFG_expand_the_madrasas
AFG_rehabilitate_the_saqqawists,AFG_expand_the_madrasas
AFG_ulugh_beg_academy,AFG_rehabilitate_the_saqqawists
